Date : 2022-04-25 21:12:28
Directory : d:\Employment\code\Club_Management_System\vue-element-admin\src
Total : 303 files,  22819 codes, 1346 comments, 1577 blanks, all 25742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| components\SvgIcon                                                                                                    |          1 |         57 |          1 |          5 |         63 |
| components\TextHoverEffect                                                                                            |          1 |        100 |          1 |         13 |        114 |
| components\ThemePicker                                                                                                |          1 |        150 |          0 |         26 |        176 |
| components\Tinymce                                                                                                    |          5 |        374 |         52 |         29 |        455 |
| components\Tinymce\components                                                                                         |          1 |        126 |          0 |          4 |        130 |
| components\Upload                                                                                                     |          3 |        411 |          0 |         13 |        424 |
| components\UploadExcel                                                                                                |          1 |        131 |          2 |          6 |        139 |
| components\system                                                                                                     |          2 |        158 |          4 |          4 |        166 |
| directive                                                                                                             |         12 |        370 |         21 |         72 |        463 |
| directive\clipboard                                                                                                   |          2 |         57 |          1 |          6 |         64 |
| directive\el-drag-dialog                                                                                              |          2 |         66 |          7 |         19 |         92 |
| directive\el-table                                                                                                    |          2 |         37 |          7 |         12 |         56 |
| directive\permission                                                                                                  |          2 |         36 |          0 |         10 |         46 |
| directive\waves                                                                                                       |          3 |        102 |          0 |         11 |        113 |
| filters                                                                                                               |          1 |         39 |         24 |          6 |         69 |
| icons                                                                                                                 |         52 |         61 |         14 |          8 |         83 |
| icons\svg                                                                                                             |         50 |         50 |          0 |          0 |         50 |
| layout                                                                                                                |         14 |      1,123 |         29 |        100 |      1,252 |
| layout\components                                                                                                     |         12 |        990 |         27 |         86 |      1,103 |
| layout\components\Settings                                                                                            |          1 |         97 |          0 |         12 |        109 |
| layout\components\Sidebar                                                                                             |          6 |        311 |          9 |         27 |        347 |
| layout\components\TagsView                                                                                            |          2 |        361 |         10 |         17 |        388 |
| layout\mixin                                                                                                          |          1 |         40 |          2 |          4 |         46 |
| permission                                                                                                            |          1 |         11 |          1 |          0 |         12 |
| router                                                                                                                |          5 |        550 |         64 |         38 |        652 |
| router\modules                                                                                                        |          4 |        230 |          4 |         15 |        249 |
| store                                                                                                                 |          8 |        500 |         48 |         63 |        611 |
| store\modules                                                                                                         |          6 |        464 |         44 |         56 |        564 |
| styles                                                                                                                |          8 |        611 |         32 |        145 |        788 |
| utils                                                                                                                 |         14 |        691 |        233 |         72 |        996 |
| vendor                                                                                                                |          2 |        202 |         16 |         28 |        246 |
| views                                                                                                                 |        125 |     12,026 |        502 |        714 |     13,242 |
| views\activity                                                                                                        |         14 |      1,642 |         94 |         77 |      1,813 |
| views\activity\activity                                                                                               |          1 |          8 |          0 |          3 |         11 |
| views\activity\eventApproval                                                                                          |          1 |        237 |         14 |          4 |        255 |
| views\activity\eventList                                                                                              |          1 |        429 |         17 |         11 |        457 |
| views\activity\event_request                                                                                          |          1 |         27 |          0 |          4 |         31 |
| views\activity\meeting                                                                                                |          1 |        279 |         22 |          9 |        310 |
| views\activity\news                                                                                                   |          9 |        662 |         41 |         46 |        749 |
| views\activity\news\components                                                                                        |          5 |        407 |         34 |         18 |        459 |
| views\activity\news\components\Dropdown                                                                               |          4 |        125 |          0 |          7 |        132 |
| views\activity\news\manageNews                                                                                        |          4 |        255 |          7 |         28 |        290 |
| views\charts                                                                                                          |          3 |         57 |          0 |         15 |         72 |
| views\clipboard                                                                                                       |          1 |         46 |          0 |          4 |         50 |
| views\components-demo                                                                                                 |         14 |      1,139 |          2 |         90 |      1,231 |
| views\dashboard                                                                                                       |         17 |      1,888 |         31 |        114 |      2,033 |
| views\dashboard\admin                                                                                                 |         12 |      1,420 |         16 |         69 |      1,505 |
| views\dashboard\admin\components                                                                                      |         11 |      1,307 |         16 |         57 |      1,380 |
| views\dashboard\admin\components\TodoList                                                                             |          3 |        512 |         12 |          7 |        531 |
| views\dashboard\admin\components\mixins                                                                               |          1 |         50 |          4 |          2 |         56 |
| views\dashboard\components                                                                                            |          3 |        338 |          4 |         31 |        373 |
| views\dashboard\components\mixins                                                                                     |          1 |         50 |          4 |          2 |         56 |
| views\dashboard\editor                                                                                                |          1 |         70 |          0 |          5 |         75 |
| views\documentation                                                                                                   |          1 |         53 |          0 |          5 |         58 |
| views\error-log                                                                                                       |          3 |         51 |          0 |          8 |         59 |
| views\error-log\components                                                                                            |          2 |         22 |          0 |          4 |         26 |
| views\error-page                                                                                                      |          2 |        321 |          0 |          8 |        329 |
| views\example                                                                                                         |          9 |        515 |         10 |         52 |        577 |
| views\example\components                                                                                              |          6 |        393 |         10 |         33 |        436 |
| views\example\components\Dropdown                                                                                     |          4 |        125 |          0 |          7 |        132 |
| views\excel                                                                                                           |          7 |        446 |          1 |         26 |        473 |
| views\excel\components                                                                                                |          3 |         97 |          0 |          6 |        103 |
| views\finance                                                                                                         |          4 |        712 |         61 |         25 |        798 |
| views\finance\curves                                                                                                  |          1 |         69 |          0 |          6 |         75 |
| views\finance\finance                                                                                                 |          1 |          8 |          0 |          3 |         11 |
| views\finance\listin                                                                                                  |          1 |        288 |         30 |          8 |        326 |
| views\finance\listout                                                                                                 |          1 |        347 |         31 |          8 |        386 |
| views\goods                                                                                                           |          3 |         24 |          0 |          9 |         33 |
| views\goods\goods                                                                                                     |          1 |          8 |          0 |          3 |         11 |
| views\goods\goodsBrand                                                                                                |          1 |          8 |          0 |          3 |         11 |
| views\goods\goodsCategory                                                                                             |          1 |          8 |          0 |          3 |         11 |
| views\guide                                                                                                           |          2 |         86 |          0 |          5 |         91 |
| views\icons                                                                                                           |          3 |        103 |          0 |         14 |        117 |
| views\login                                                                                                           |          4 |        518 |         46 |         36 |        600 |
| views\login\components                                                                                                |          1 |         58 |         11 |          4 |         73 |
| views\nested                                                                                                          |          7 |         41 |          0 |          7 |         48 |
| views\nested\menu1                                                                                                    |          6 |         36 |          0 |          6 |         42 |
| views\nested\menu1\menu1-1                                                                                            |          1 |          7 |          0 |          1 |          8 |
| views\nested\menu1\menu1-2                                                                                            |          3 |         17 |          0 |          3 |         20 |
| views\nested\menu1\menu1-2\menu1-2-1                                                                                  |          1 |          5 |          0 |          1 |          6 |
| views\nested\menu1\menu1-2\menu1-2-2                                                                                  |          1 |          5 |          0 |          1 |          6 |
| views\nested\menu1\menu1-3                                                                                            |          1 |          5 |          0 |          1 |          6 |
| views\nested\menu2                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| views\pdf                                                                                                             |          3 |        243 |          1 |         31 |        275 |
| views\permission                                                                                                      |          4 |        388 |          9 |         39 |        436 |
| views\permission\components                                                                                           |          1 |         31 |          0 |          2 |         33 |
| views\profile                                                                                                         |          5 |        425 |          0 |         48 |        473 |
| views\profile\components                                                                                              |          4 |        362 |          0 |         42 |        404 |
| views\qiniu                                                                                                           |          1 |         37 |          2 |          3 |         42 |
| views\redirect                                                                                                        |          1 |         12 |          0 |          1 |         13 |
| views\system                                                                                                          |          7 |      2,175 |        239 |         23 |      2,437 |
| views\system\Menu                                                                                                     |          1 |        451 |         35 |          2 |        488 |
| views\system\Role                                                                                                     |          1 |        346 |         39 |          3 |        388 |
| views\system\User                                                                                                     |          1 |        718 |        111 |          5 |        834 |
| views\system\UserApprove                                                                                              |          1 |        154 |          7 |          4 |        165 |
| views\system\config                                                                                                   |          2 |         78 |          2 |          5 |         85 |
| views\system\department                                                                                               |          1 |        428 |         45 |          4 |        477 |
| views\tab                                                                                                             |          2 |        147 |          1 |         14 |        162 |
| views\tab\components                                                                                                  |          1 |         94 |          0 |         10 |        104 |
| views\table                                                                                                           |          6 |        772 |          5 |         46 |        823 |
| views\table\dynamic-table                                                                                             |          3 |        126 |          0 |         13 |        139 |
| views\table\dynamic-table\components                                                                                  |          2 |        106 |          0 |          8 |        114 |
| views\theme                                                                                                           |          1 |        110 |          0 |         11 |        121 |
| views\zip                                                                                                             |          1 |         75 |          0 |          3 |         78 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Employment\code\Club_Management_System\vue-element-admin\src\App.vue                                               | Vue        |         10 |          0 |          2 |         12 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\activity.js                                       | JavaScript |         16 |          5 |          4 |         25 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\article.js                                        | JavaScript |         22 |          7 |          7 |         36 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\department.js                                     | JavaScript |         22 |          7 |          1 |         30 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\expense.js                                        | JavaScript |         19 |          8 |          3 |         30 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\income.js                                         | JavaScript |         16 |          7 |          2 |         25 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\log.js                                            | JavaScript |          4 |          1 |          0 |          5 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\meeting.js                                        | JavaScript |         13 |          6 |          3 |         22 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\menu.js                                           | JavaScript |         16 |          5 |          0 |         21 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\qiniu.js                                          | JavaScript |          7 |          0 |          2 |          9 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\remote-search.js                                  | JavaScript |         15 |          0 |          3 |         18 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\role.js                                           | JavaScript |         19 |          6 |          1 |         26 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\api\user.js                                           | JavaScript |         49 |         16 |          2 |         67 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\assets\custom-theme\index.css                         | CSS        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\BackToTop\index.vue                        | Vue        |        105 |          0 |          7 |        112 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Breadcrumb\index.vue                       | Vue        |         73 |          3 |          7 |         83 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Charts\Keyboard.vue                        | Vue        |        152 |          0 |          4 |        156 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Charts\LineMarker.vue                      | Vue        |        222 |          0 |          6 |        228 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Charts\MixChart.vue                        | Vue        |        265 |          0 |          7 |        272 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Charts\mixins\resize.js                    | JavaScript |         48 |          4 |          5 |         57 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\DndList\index.vue                          | Vue        |        155 |          2 |         10 |        167 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\DragSelect\index.vue                       | Vue        |         59 |          2 |          5 |         66 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Dropzone\index.vue                         | Vue        |        265 |         11 |         22 |        298 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ErrorLog\index.vue                         | Vue        |         75 |          0 |          4 |         79 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\GithubCorner\index.vue                     | Vue        |         51 |          0 |          4 |         55 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Hamburger\index.vue                        | Vue        |         41 |          0 |          4 |         45 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\HeaderSearch\index.vue                     | Vue        |        160 |          8 |         13 |        181 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ImageCropper\index.vue                     | Vue        |      1,688 |         84 |          8 |      1,780 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ImageCropper\utils\data2blob.js            | JavaScript |         11 |          8 |          1 |         20 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ImageCropper\utils\effectRipple.js         | JavaScript |         32 |          7 |          1 |         40 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ImageCropper\utils\language.js             | JavaScript |        230 |          0 |          3 |        233 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ImageCropper\utils\mimes.js                | JavaScript |          7 |          0 |          1 |          8 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\JsonEditor\index.vue                       | Vue        |         69 |          1 |          8 |         78 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Kanban\index.vue                           | Vue        |         91 |          2 |          7 |        100 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\MDinput\index.vue                          | Vue        |        341 |         13 |          7 |        361 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\MarkdownEditor\default-options.js          | JavaScript |         30 |          1 |          1 |         32 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\MarkdownEditor\index.vue                   | Vue        |        114 |          1 |          4 |        119 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Pagination\index.vue                       | Vue        |         98 |          0 |          4 |        102 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\PanThumb\index.vue                         | Vue        |        118 |         12 |         13 |        143 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\RightPanel\index.vue                       | Vue        |        136 |          0 |         10 |        146 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Screenfull\index.vue                       | Vue        |         57 |          0 |          4 |         61 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Share\DropdownMenu.vue                     | Vue        |        101 |          0 |          3 |        104 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\SizeSelect\index.vue                       | Vue        |         52 |          1 |          5 |         58 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Sticky\index.vue                           | Vue        |         90 |          0 |          2 |         92 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\SvgIcon\index.vue                          | Vue        |         57 |          1 |          5 |         63 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\TextHoverEffect\Mallki.vue                 | Vue        |        100 |          1 |         13 |        114 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\ThemePicker\index.vue                      | Vue        |        150 |          0 |         26 |        176 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Tinymce\components\EditorImage.vue         | Vue        |        126 |          0 |          4 |        130 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Tinymce\dynamicLoadScript.js               | JavaScript |         48 |          4 |          8 |         60 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Tinymce\index.vue                          | Vue        |        196 |         43 |         11 |        250 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Tinymce\plugins.js                         | JavaScript |          2 |          3 |          3 |          8 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Tinymce\toolbar.js                         | JavaScript |          2 |          2 |          3 |          7 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\UploadExcel\index.vue                      | Vue        |        131 |          2 |          6 |        139 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Upload\SingleImage.vue                     | Vue        |        130 |          0 |          5 |        135 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Upload\SingleImage2.vue                    | Vue        |        127 |          0 |          4 |        131 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\Upload\SingleImage3.vue                    | Vue        |        154 |          0 |          4 |        158 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\system\DetailsDialog.vue                   | Vue        |         79 |          2 |          2 |         83 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\components\system\SysDialog.vue                       | Vue        |         79 |          2 |          2 |         83 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\clipboard\clipboard.js                      | JavaScript |         47 |          1 |          2 |         50 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\clipboard\index.js                          | JavaScript |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\el-drag-dialog\drag.js                      | JavaScript |         56 |          7 |         15 |         78 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\el-drag-dialog\index.js                     | JavaScript |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\el-table\adaptive.js                        | JavaScript |         27 |          7 |          8 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\el-table\index.js                           | JavaScript |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\permission\index.js                         | JavaScript |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\permission\permission.js                    | JavaScript |         26 |          0 |          6 |         32 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\sticky.js                                   | JavaScript |         72 |          6 |         14 |         92 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\waves\index.js                              | JavaScript |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\waves\waves.css                             | CSS        |         25 |          0 |          1 |         26 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\directive\waves\waves.js                              | JavaScript |         67 |          0 |          6 |         73 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\filters\index.js                                      | JavaScript |         39 |         24 |          6 |         69 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\index.js                                        | JavaScript |          6 |          1 |          3 |         10 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\404.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\add-s.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\bug.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\chart.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\clipboard.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\component.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\dashboard.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\documentation.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\drag.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\edit.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\education.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\email.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\example.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\excel.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\exit-fullscreen.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\eye-open.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\eye.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\form.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\fullscreen.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\guide.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\icon.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\international.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\language.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\link.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\list.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\lock.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\menus.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\message.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\money.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\nested.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\password.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\pdf.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\people.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\peoples.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\qq.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\search.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\setting.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\shopping.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\size.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\skill.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\star.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\sub-s.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\tab.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\table.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\theme.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\tree-table.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\tree.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\user.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\wechat.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svg\zip.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\icons\svgo.yml                                        | YAML       |          5 |         13 |          5 |         23 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\AppMain.vue                         | Vue        |         48 |          3 |          7 |         58 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Navbar.vue                          | Vue        |        168 |          5 |         22 |        195 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Settings\index.vue                  | Vue        |         97 |          0 |         12 |        109 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\FixiOSBug.js                | JavaScript |         24 |          2 |          1 |         27 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\Item.vue                    | Vue        |         38 |          0 |          4 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\Link.vue                    | Vue        |         41 |          0 |          3 |         44 |
